"","","D7","1N4007","DC-Soft-Starter-V2-rescue:1N4007-Diode","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"","","D8","IXYS DSEI60-12A","DC-Soft-Starter-V2-rescue:D-Device","Package_TO_SOT_THT:TO-247-2_Horizontal_TabDown","http://ixapps.ixys.com/DataSheet/93023.pdf","",""
"","","J1","VDD","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"","","J2","VSS","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"","","J3","Screw_Terminal_01x03","DC-Soft-Starter-V2-rescue:Screw_Terminal_01x03-Connector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"","","J4","Klemens","DC-Soft-Starter-V2-rescue:Conn_01x02_Female-Connector","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"","","J5","Screw_Terminal_01x05","DC-Soft-Starter-V2-rescue:Screw_Terminal_01x05-Connector","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"","","J7","Klemens","DC-Soft-Starter-V2-rescue:Conn_01x02_Female-Connector","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"","","J8","Conn_01x04_Male","DC-Soft-Starter-V2-rescue:Conn_01x04_Male-Connector","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"","","J9","conn_Motor (+)","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"","","J10","conn_Motor (-)","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"","","K1","HK15F_r","DC-Soft-Starter-V2-rescue:HK15F_r-_personalRelay","kicad_personal_lib:Relay_SPDT_RAYEX-L90S","","",""
"","","Q1","Q_NMOS_GDS","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-252-3_cool","~","",""
"","","Q2","IRFZ44N","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-252-3_cool","~","",""
"","","Q3","IRFZ44N","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-252-3_cool","~","",""
"","","Q4","IXFH50N60P3","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-247-3_Horizontal_TabDown","~","",""
"","","R1","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R2","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R3","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R4","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R5","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R6","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R7","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R8","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R9","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R10","2x11W (5k each)","DC-Soft-Starter-V2-rescue:R-Device","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","~","",""
"","","R11","2x11W (5k each)","DC-Soft-Starter-V2-rescue:R-Device","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","~","",""
"","","R12","10kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R13","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R14","56kR 1W","DC-Soft-Starter-V2-rescue:R-Device","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","",""
"","","R15","10kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R16","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R17","10kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R18","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R19","470R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R20","47R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R21","330R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R22","47R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R23","820kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","",""
"","","R24","8.2kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R25","47R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","R26","10kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"","","SW1","SW_Push","DC-Soft-Starter-V2-rescue:SW_Push-Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"","","SW2","SW_Push","DC-Soft-Starter-V2-rescue:SW_Push-Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"","","SW3","SW_Push","DC-Soft-Starter-V2-rescue:SW_Push-Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"","","U1","L7805","DC-Soft-Starter-V2-rescue:L7805-Regulator_Linear","kicad_personal_lib:TO-252-3_cool","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","",""
"","","U2","PC817","DC-Soft-Starter-V2-rescue:PC817-Isolator","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","",""
"","","U3","LM358","DC-Soft-Starter-V2-rescue:LM358-Amplifier_Operational","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
"","","U4","TempSens","DC-Soft-Starter-V2-rescue:MCP9700AT-ETT-Sensor_Temperature","Package_TO_SOT_THT:TO-92","http://ww1.microchip.com/downloads/en/DeviceDoc/21942e.pdf","",""
"","","U5","TL431DBZ","DC-Soft-Starter-V2-rescue:TL431DBZ-Reference_Voltage","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf","",""
"","","U6","TLP250","DC-Soft-Starter-V2-rescue:TLP250-Driver_FET","Package_DIP:DIP-8_W7.62mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=16821&prodName=TLP250","",""
"","","U7","ACS712-30A","DC-Soft-Starter-V2-rescue:ACS712xLCTR-30A-Sensor_Current","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Netlist_Enabled","Spice_Primitive"
"1","1","A1","Arduino_Nano_v3.x","DC-Soft-Starter-V2-rescue:Arduino_Nano_v3.x-MCU_Module","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","",""
"2","5","C1, C2, C3, C8, C24","100nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"3","2","C4, C5","22uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"4","1","C6","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel_2","~","",""
"5","2","C7, C27","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_12.8","~","",""
"6","6","C9, C12, C15, C20, C23, C28","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:C_Rect_L29.0mm_W14.2mm_P27.50mm_MKT","~","",""
"7","4","C10, C14, C16, C26","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel","~","",""
"8","3","C11, C13, C29","10uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"9","1","C17","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_18","~","",""
"10","2","C18, C22","1nF","DC-Soft-Starter-V2-rescue:C_Small-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"11","1","C19","100uF","DC-Soft-Starter-V2-rescue:C_Small-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"12","1","C21","CAP","DC-Soft-Starter-V2-rescue:CAP-pspice","kicad_personal_lib:Cap_Parallel_1","~","",""
"13","1","C25","C","DC-Soft-Starter-V2-rescue:C-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"14","3","D1, D2, D3","LED","DC-Soft-Starter-V2-rescue:LED-Device","LED_THT:LED_D3.0mm","~","",""
"15","1","D4","RURG3060CC","DC-Soft-Starter-V2-rescue:DIODE-Simulation_SPICE","kicad_personal_lib:TO-247-3_Staggered_TabUp_1","/home/ozgur/Desktop/DC-Soft-Starter-V4/Components/Datasheets&Docs/RURG3060CC.pdf","Y","V"
"16","2","D5, D7","1N4007","DC-Soft-Starter-V2-rescue:1N4007-Diode","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"17","1","D6","18V zener","DC-Soft-Starter-V2-rescue:D_Zener-Device","Diode_SMD:D_MELF","~","",""
"18","1","D8","IXYS DSEI60-12A","DC-Soft-Starter-V2-rescue:D-Device","Package_TO_SOT_THT:TO-247-2_Horizontal_TabDown","http://ixapps.ixys.com/DataSheet/93023.pdf","",""
"19","1","J1","VDD","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"20","1","J2","VSS","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"21","1","J3","Screw_Terminal_01x03","DC-Soft-Starter-V2-rescue:Screw_Terminal_01x03-Connector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"22","2","J4, J7","Klemens","DC-Soft-Starter-V2-rescue:Conn_01x02_Female-Connector","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"23","1","J5","Screw_Terminal_01x05","DC-Soft-Starter-V2-rescue:Screw_Terminal_01x05-Connector","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"24","1","J8","Conn_01x04_Male","DC-Soft-Starter-V2-rescue:Conn_01x04_Male-Connector","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"25","1","J9","conn_Motor (+)","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"26","1","J10","conn_Motor (-)","DC-Soft-Starter-V2-rescue:Conn_01x01-Connector_Generic","kicad_personal_lib:M5","~","",""
"27","1","K1","HK15F_r","DC-Soft-Starter-V2-rescue:HK15F_r-_personalRelay","kicad_personal_lib:Relay_SPDT_RAYEX-L90S","","",""
"28","1","Q1","Q_NMOS_GDS","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-252-3_cool","~","",""
"29","2","Q2, Q3","IRFZ44N","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-252-3_cool","~","",""
"30","1","Q4","IXFH50N60P3","DC-Soft-Starter-V2-rescue:Q_NMOS_GDS-Device","kicad_personal_lib:TO-247-3_Horizontal_TabDown","~","",""
"31","12","R1, R2, R3, R4, R5, R6, R7, R8, R9, R13, R16, R18","100R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"32","2","R10, R11","2x11W (5k each)","DC-Soft-Starter-V2-rescue:R-Device","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","~","",""
"33","4","R12, R15, R17, R26","10kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"34","1","R14","56kR 1W","DC-Soft-Starter-V2-rescue:R-Device","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","",""
"35","1","R19","470R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"36","3","R20, R22, R25","47R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"37","1","R21","330R","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"38","1","R23","820kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","",""
"39","1","R24","8.2kR","DC-Soft-Starter-V2-rescue:R_Small_US-Device","Resistor_SMD:R_0805_2012Metric","~","",""
"40","3","SW1, SW2, SW3","SW_Push","DC-Soft-Starter-V2-rescue:SW_Push-Switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"41","1","U1","L7805","DC-Soft-Starter-V2-rescue:L7805-Regulator_Linear","kicad_personal_lib:TO-252-3_cool","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","",""
"42","1","U2","PC817","DC-Soft-Starter-V2-rescue:PC817-Isolator","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","",""
"43","1","U3","LM358","DC-Soft-Starter-V2-rescue:LM358-Amplifier_Operational","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
"44","1","U4","TempSens","DC-Soft-Starter-V2-rescue:MCP9700AT-ETT-Sensor_Temperature","Package_TO_SOT_THT:TO-92","http://ww1.microchip.com/downloads/en/DeviceDoc/21942e.pdf","",""
"45","1","U5","TL431DBZ","DC-Soft-Starter-V2-rescue:TL431DBZ-Reference_Voltage","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf","",""
"46","1","U6","TLP250","DC-Soft-Starter-V2-rescue:TLP250-Driver_FET","Package_DIP:DIP-8_W7.62mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=16821&prodName=TLP250","",""
"47","1","U7","ACS712-30A","DC-Soft-Starter-V2-rescue:ACS712xLCTR-30A-Sensor_Current","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","",""
